CompNo,yyyy,mm,StkIndx,STInt,dtdlevel,dtdtrend,liqnonfinlevel,liqnonfintrend,ni2talevel,ni2tatrend,sizelevel,sizetrend,m2b,sigma,liqfinlevel,lqfintrend,DTDmedianFin,DTDmedianNonFin,dummy297fin,EventDate,Event_type,Sector_Number,Exchange
15984,1999,3,0.167569775,0.006248025,,,,,,,1.027930802,0,,,0,0,0,2.324204727,0,199903,0,12,15
15984,1999,4,0.200971531,0.006486681,,,,,,,1.351854191,0.32392339,,,0,0,0,2.373553996,0,199904,2,17,15
15984,1999,6,0.210673464,0.007457212,,,0.447324766,0,0.00931967,0,1.362517974,0.012036063,5.082778349,0.276896491,0,0,0,2.455890345,0,199906,2,12,15
15984,1999,9,0.261256035,0.007743599,4.77915032,0.100453694,0.447324766,0,0.00931967,0,1.352564783,0.110964702,6.072564582,0.238643311,0,0,0,2.499298376,0,199909,2,99,15
15984,2000,1,0.089239378,0.011088752,4.966794008,-0.019877307,0.447324766,-5.55E-17,0.00931967,0,1.346918826,-0.030341819,5.561974848,0.219866271,0,0,0,2.630245029,0,200001,2,19,15
15984,2000,1,0.089239378,0.011088752,4.966794008,-0.019877307,0.447324766,-5.55E-17,0.00931967,0,1.346918826,-0.030341819,5.561974848,0.219866271,0,0,0,2.630245029,0,200001,1,19,15
15984,2000,1,0.089239378,0.011088752,4.966794008,-0.019877307,0.447324766,-5.55E-17,0.00931967,0,1.346918826,-0.030341819,5.561974848,0.219866271,0,0,0,2.630245029,0,200001,2,20,15
15984,2000,2,0.102594452,0.011442757,4.754131614,-1.488636757,0.447324766,0,0.00931967,0,1.354864011,0.087397039,6.383307963,0.277813375,0,0,0,2.670098999,0,200002,2,11,15
15984,2000,3,0.164517356,0.011800741,4.403790659,-2.802727639,0.447324766,0,0.00931967,-1.73E-18,1.565021263,1.984796564,50.50832125,0.294682926,0,0,0,2.599548152,0,200003,2,17,15
15984,2000,6,0.059492724,0.011737099,3.465437086,-2.641114189,0.447324766,-5.55E-17,0.00931967,-1.73E-18,1.468645655,0.220134848,8.958125884,0.342987707,0,0,0,2.257787179,0,200006,0,20,15
